shortName,playerId,playerDkId,position,teamAbbreviation,salary,jdt_players_points,name,startTime
N. Westbrook-Ikhine,883259,488205,WR,TEN,4800,6.6,NYG @ TEN,2022-09-11T20:25:00.0000000Z
D. Chark Jr.,822008,20498,WR,DET,4800,8.6,PHI @ DET,2022-09-11T17:00:00.0000000Z
R. Mostert,606501,19614,RB,MIA,4800,2,NE @ MIA,2022-09-11T17:00:00.0000000Z
D. Parker,602241,14759,WR,NE,4800,10.4,NE @ MIA,2022-09-11T17:00:00.0000000Z
M. Gesicki,836152,14499,TE,MIA,4800,9.9,NE @ MIA,2022-09-11T17:00:00.0000000Z
R. Anderson,608360,19398,WR,CAR,4800,8.1,CLE @ CAR,2022-09-11T17:00:00.0000000Z
J. Flacco,216342,18625,QB,NYJ,4800,12.4,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
B. Snell Jr.,920062,18858,RB,PIT,4800,1,PIT @ CIN,2022-09-11T17:00:00.0000000Z
C. Evans,946019,560898,RB,CIN,4800,2.9,PIT @ CIN,2022-09-11T17:00:00.0000000Z
T. Boyd,742387,13398,WR,CIN,4800,11,PIT @ CIN,2022-09-11T17:00:00.0000000Z
D. Williams,691283,12080,RB,ATL,4700,5.1,NO @ ATL,2022-09-11T17:00:00.0000000Z
J. Love,912137,470097,QB,GB,4700,4.2,GB @ MIN,2022-09-11T20:25:00.0000000Z
S. Watkins,602118,12050,WR,GB,4700,5.5,GB @ MIN,2022-09-11T20:25:00.0000000Z
Z. White,1110697,624660,RB,LV,4700,,LV @ LAC,2022-09-11T20:25:00.0000000Z
M. Mack,840760,11113,RB,HOU,4700,2.2,IND @ HOU,2022-09-11T17:00:00.0000000Z
M. Valdes-Scantling,742382,19807,WR,KC,4700,8.2,KC @ ARI,2022-09-11T20:25:00.0000000Z
S. Michel,823041,17958,RB,MIA,4700,7.8,NE @ MIA,2022-09-11T17:00:00.0000000Z
G. Wilson,1164889,640761,WR,NYJ,4700,,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
T. Hill,503184,18521,QB,NO,4600,10.8,NO @ ATL,2022-09-11T17:00:00.0000000Z
K. Gainwell,1130705,560844,RB,PHI,4600,8.3,PHI @ DET,2022-09-11T17:00:00.0000000Z
A. Green,458093,13671,WR,ARI,4600,9.6,KC @ ARI,2022-09-11T20:25:00.0000000Z
M. Hardman,922026,11461,WR,KC,4600,9.2,KC @ ARI,2022-09-11T20:25:00.0000000Z
T. Sermon,976236,546223,RB,SF,4600,2.8,SF @ CHI,2022-09-11T17:00:00.0000000Z
T. Coleman,696080,19465,RB,NYJ,4600,4.7,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
T. Jones Jr.,946101,485725,RB,NO,4500,2,NO @ ATL,2022-09-11T17:00:00.0000000Z
T. Allgeier,1131198,631857,RB,ATL,4500,,NO @ ATL,2022-09-11T17:00:00.0000000Z
C. Olave,1122592,640762,WR,NO,4500,,NO @ ATL,2022-09-11T17:00:00.0000000Z
P. Lindsay,747861,18855,RB,IND,4500,3.2,IND @ HOU,2022-09-11T17:00:00.0000000Z
B. Robinson Jr.,973966,640926,RB,WAS,4500,,JAX @ WAS,2022-09-11T17:00:00.0000000Z
T. Taylor,399579,19340,QB,NYG,4500,14.5,NYG @ TEN,2022-09-11T20:25:00.0000000Z
D. Hilliard,821729,14559,RB,TEN,4500,9,NYG @ TEN,2022-09-11T20:25:00.0000000Z
B. Scott,749635,17361,RB,PHI,4500,6.5,PHI @ DET,2022-09-11T17:00:00.0000000Z
