PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Lee Smith,BUF,TE,0.49,0.62,0.49,4100,2500,10,1,1,1,0,1,1,8,#D9D9F7,5,#F4F4FD,6.25,#E9E9FA
Alex Armah,CAR,RB,0.44,0.59,0.44,4700,4000,10,1,1,1,1,1,1,11,#BABAF1,9,#CACAF4,11.25,#B6B6F0
Kalif Raymond,TEN,WR,0.48,0.59,0.48,4500,3000,,1,1,1,1,1,1,8,#D9D9F7,7.25,#DCDCF8,,
Jakob Johnson,NE,RB,0.45,0.58,0.45,4500,4000,10,1,1,1,1,1,1,11,#BABAF1,9,#CACAF4,11.25,#B6B6F0
Bryan Edwards,LV,WR,0.47,0.57,0.47,4700,3000,10,1,1,1,1,1,1,8,#D9D9F7,8,#D5D5F7,8,#D8D8F7
Jeremy Sprinkle,WSH,TE,0.46,0.57,0.46,4100,2500,10,1,1,1,1,1,1,8,#D9D9F7,5,#F4F4FD,6.25,#E9E9FA
Marcus Johnson,IND,WR,0.47,0.57,0.47,4600,3000,10,1,1,1,1,1,1,8,#D9D9F7,8,#D5D5F7,8,#D8D8F7
Brandon Zylstra,CAR,WR,0.44,0.56,0.44,4500,3000,10,1,1,1,1,1,1,8,#D9D9F7,7.25,#DCDCF8,8.25,#D5D5F7
Trey Edmunds,PIT,RB,0.49,0.56,0.49,4500,4000,10,1,1,0,1,1,1,11,#BABAF1,9,#CACAF4,11,#B9B9F1
Jason Witten,LV,TE,0.42,0.54,0.42,4200,2500,10,1,1,1,1,1,1,8,#D9D9F7,5.75,#ECECFB,6.25,#E9E9FA
Levine Toilolo,NYG,TE,0.41,0.53,0.41,4000,2500,10,1,1,1,1,1,1,8,#D9D9F7,5,#F4F4FD,6.25,#E9E9FA
Andy Janovich,CLE,RB,0.41,0.52,0.41,4500,4000,10,1,1,1,1,1,0,11,#BABAF1,9,#CACAF4,11.25,#B6B6F0
Jake Butt,DEN,TE,0.37,0.46,0.37,4000,2500,10,1,1,1,1,1,1,8.25,#D6D6F7,5,#F4F4FD,6.25,#E9E9FA
Malik Taylor,GB,WR,0.27,0.34,0.27,4500,3000,10,1,1,1,1,1,1,8.25,#D6D6F7,7.5,#DADAF8,8.25,#D5D5F7
Senorise Perry,TEN,RB,0.25,0.32,0.25,4500,4000,10,1,1,1,1,1,1,11.25,#B7B7F0,9.25,#C7C7F4,11.25,#B6B6F0
